news_headline,news_article,news_category,full_text,clean_text
Apne hi ghar mai kya inaugurate karna: Dhoni on stand named after him,"Jharkhand State Cricket Association (JSCA) Secretary Debasish Chakraborty has revealed that former captain MS Dhoni declined to inaugurate the 'Dhoni Pavilion' stand at the stadium in Ranchi. ""We requested him but he said 'Dada apne hi ghar mein kya inaugurate karna?' (What's there to inaugurate in my own house?). He is still so humble and down to earth,"" he added.",sports,"Apne hi ghar mai kya inaugurate karna: Dhoni on stand named after him. Jharkhand State Cricket Association (JSCA) Secretary Debasish Chakraborty has revealed that former captain MS Dhoni declined to inaugurate the 'Dhoni Pavilion' stand at the stadium in Ranchi. ""We requested him but he said 'Dada apne hi ghar mein kya inaugurate karna?' (What's there to inaugurate in my own house?). He is still so humble and down to earth,"" he added.",apne hi ghar mai kya inaugurate karna dhoni stand name jharkhand state cricket association jsca secretary debasish chakraborty reveal former captain ms dhoni decline inaugurate dhoni pavilion stand stadium ranchi request say dada apne hi ghar mein kya inaugurate karna inaugurate house still humble earth add
De Kock smashes bat in dressing room after getting out for 94,"South Africa wicketkeeper-opener Quinton de Kock was seen swinging his bat wildly at some object in frustration in the dressing room after getting out for 94(70) in the second ODI against Sri Lanka. Reacting to it, a user tweeted, ""I guess it's safe to assume that this was the last innings Quinton de Kock had with this particular bat.""",sports,"De Kock smashes bat in dressing room after getting out for 94. South Africa wicketkeeper-opener Quinton de Kock was seen swinging his bat wildly at some object in frustration in the dressing room after getting out for 94(70) in the second ODI against Sri Lanka. Reacting to it, a user tweeted, ""I guess it's safe to assume that this was the last innings Quinton de Kock had with this particular bat.""",de kock smash bat dressing room get 94 south africa wicketkeeper opener quinton de kock see swing bat wildly object frustration dressing room get 94 70 second odi sri lanka react user tweet guess safe assume last innings quinton de kock particular bat
Man Utd post record comeback with 94th-min goal to knock PSG out of CL,Manchester United defeated PSG 3-1 in Paris on Wednesday after losing 0-2 in Manchester to advance to Champions League quarter-finals on away goals. United became the first team in Champions League history to progress to the next round after losing first leg at home by at least two goals. Forward Marcus Rashford converted a 94th-minute penalty to help United advance. ,sports,Man Utd post record comeback with 94th-min goal to knock PSG out of CL. Manchester United defeated PSG 3-1 in Paris on Wednesday after losing 0-2 in Manchester to advance to Champions League quarter-finals on away goals. United became the first team in Champions League history to progress to the next round after losing first leg at home by at least two goals. Forward Marcus Rashford converted a 94th-minute penalty to help United advance. ,man utd post record comeback 94th min goal knock psg cl manchester unite defeat psg 3 1 paris wednesday lose 0 2 manchester advance champion league quarter final away goal unite become first team champion league history progress next round lose first leg home least two goal forward marcus rashford convert 94th minute penalty help unite advance
"Player celebrates goal by climbing ladder, changing scorecard","During a second division match in Guatemala, Deportivo Carcha's Luis Acuna opened the scoring against Deportivo Jocotan and celebrated the goal by climbing a ladder to change the scoreboard. The Argentina-born midfielder converted a penalty in the 80th minute and did the celebration before being booked by the referee. Deportivo Carcha went on to win the match 1-0.",sports,"Player celebrates goal by climbing ladder, changing scorecard. During a second division match in Guatemala, Deportivo Carcha's Luis Acuna opened the scoring against Deportivo Jocotan and celebrated the goal by climbing a ladder to change the scoreboard. The Argentina-born midfielder converted a penalty in the 80th minute and did the celebration before being booked by the referee. Deportivo Carcha went on to win the match 1-0.",player celebrate goal climb ladder change scorecard second division match guatemala deportivo carcha luis acuna open scoring deportivo jocotan celebrate goal climb ladder change scoreboard argentina bear midfielder convert penalty 80th minute celebration book referee deportivo carcha go win match 1 0
"Ritu Phogat shares pic while training for MMA, dedicates post to dad","Indian wrestlers Geeta and Babita Phogat's sister Ritu, who recently left wrestling for MMA, took to Twitter to share her picture while training and dedicated the post to her father. ""My dad once said, 'Main Apni Choriyo Ko Itna Qabil Banaonga Ke Choray Unhai Daikhne Nahi...Wo Choro Ko Daikhnai Jawaynge' #DangalGirls #girlpower #daddy #prouddaughter #thankyou,"" she wrote.",sports,"Ritu Phogat shares pic while training for MMA, dedicates post to dad. Indian wrestlers Geeta and Babita Phogat's sister Ritu, who recently left wrestling for MMA, took to Twitter to share her picture while training and dedicated the post to her father. ""My dad once said, 'Main Apni Choriyo Ko Itna Qabil Banaonga Ke Choray Unhai Daikhne Nahi...Wo Choro Ko Daikhnai Jawaynge' #DangalGirls #girlpower #daddy #prouddaughter #thankyou,"" she wrote.",ritu phogat share pic train mma dedicate post dad indian wrestler geeta babita phogat sister ritu recently leave wrestling mma take twitter share picture training dedicate post father dad say main apni choriyo ko itna qabil banaonga ke choray unhai daikhne nahi wo choro ko daikhnai jawaynge dangalgirl girlpower daddy prouddaughter thankyou write
Still seeking international ban on Pak despite ICC snub: COA chief,"Committee of Administrators (CoA) chairman Vinod Rai has said that the BCCI is still seeking a ban on Pakistan despite the ICC saying it was not their domain to sever ties with nations harbouring terrorism. ""Let the time come. [World Cup] is still four months away,"" Rai added. ""It is a process which goes slow,"" he added.",sports,"Still seeking international ban on Pak despite ICC snub: COA chief. Committee of Administrators (CoA) chairman Vinod Rai has said that the BCCI is still seeking a ban on Pakistan despite the ICC saying it was not their domain to sever ties with nations harbouring terrorism. ""Let the time come. [World Cup] is still four months away,"" Rai added. ""It is a process which goes slow,"" he added.",still seek international ban pak despite icc snub coa chief committee administrator coa chairman vinod rai say bcci still seek ban pakistan despite icc say not domain sever tie nation harbour terrorism let time come [ world cup ] still four month away rai add process go slow add
"SA's Miller attempts quick stumping, Du Plessis calls him 'MS Dhoni'","During Sri Lanka's 32nd over in the second ODI against South Africa, South Africa batsman David Miller attempted a quick stumping off Imran Tahir when regular wicketkeeper Quinton de Kock had left the field. Miller quickly dislodged the bails after Vishwa Fernando missed a shot, after which South Africa captain Faf du Plessis termed Miller as 'MS Dhoni'.",sports,"SA's Miller attempts quick stumping, Du Plessis calls him 'MS Dhoni'. During Sri Lanka's 32nd over in the second ODI against South Africa, South Africa batsman David Miller attempted a quick stumping off Imran Tahir when regular wicketkeeper Quinton de Kock had left the field. Miller quickly dislodged the bails after Vishwa Fernando missed a shot, after which South Africa captain Faf du Plessis termed Miller as 'MS Dhoni'.",sas miller attempt quick stumping du plessis call ms dhoni sri lankas 32nd second odi south africa south africa batsman david miller attempt quick stumping imran tahir regular wicketkeeper quinton de kock leave field miller quickly dislodge bail vishwa fernando miss shot south africa captain faf du plessis term miller ms dhoni
23-yr-old Tushar to play Mumbai's next T20 despite mother's death,"Mumbai's 23-year-old fast bowler Tushar Deshpande will be playing for his team in Syed Mushtaq Ali Trophy on Friday in honour of his mother, who passed away of cancer on Tuesday. ""Thoughts about mummy will definitely come, but my mom wanted me to play well and nothing else. If I stop right now, then there's no point,"" Deshpande said.",sports,"23-yr-old Tushar to play Mumbai's next T20 despite mother's death. Mumbai's 23-year-old fast bowler Tushar Deshpande will be playing for his team in Syed Mushtaq Ali Trophy on Friday in honour of his mother, who passed away of cancer on Tuesday. ""Thoughts about mummy will definitely come, but my mom wanted me to play well and nothing else. If I stop right now, then there's no point,"" Deshpande said.",23yr old tushar play mumbai next t20 despite mother death mumbais 23year old fast bowler tushar deshpande play team syed mushtaq ali trophy friday honour mother pass away cancer tuesday thought mummy definitely come mom want play well nothing else stop right no point deshpande say
All kinds of weird: Ritika on 'brother' Yuvraj wearing Rohit's jersey,"Mumbai Indians took to Instagram to share a picture of their new signing Yuvraj Singh wearing captain Rohit Sharma's jersey with the caption, ""Guess who?"" Reacting to the picture, Rohit's wife Ritika Sajdeh wrote, ""My brother wearing my husband's jersey is all kinds of weird."" Ritika used to manage Yuvraj and had become his 'rakhi sister' during the time. ",sports,"All kinds of weird: Ritika on 'brother' Yuvraj wearing Rohit's jersey. Mumbai Indians took to Instagram to share a picture of their new signing Yuvraj Singh wearing captain Rohit Sharma's jersey with the caption, ""Guess who?"" Reacting to the picture, Rohit's wife Ritika Sajdeh wrote, ""My brother wearing my husband's jersey is all kinds of weird."" Ritika used to manage Yuvraj and had become his 'rakhi sister' during the time. ",kind weird ritika brother yuvraj wear rohit jersey mumbai indian take instagram share picture new signing yuvraj singh wear captain rohit sharma jersey caption guess react picture rohit wife ritika sajdeh write brother wear husband jersey kind weird ritika use manage yuvraj become rakhi sister time
Disgrace: Gautam Gambhir on Kashmiri vendors beaten in Lucknow,"Reacting to two Kashmiri vendors being assaulted in Lucknow by saffron-clad men, former India cricketer Gautam Gambhir tweeted, ""Broad day light, bashing a Kashmiri trader in his own country! Disgrace!"" ""India is not only ours, it's theirs too,"" he added. A member of Vishwa Hindu Dal had shared videos of the attack on Facebook.",sports,"Disgrace: Gautam Gambhir on Kashmiri vendors beaten in Lucknow. Reacting to two Kashmiri vendors being assaulted in Lucknow by saffron-clad men, former India cricketer Gautam Gambhir tweeted, ""Broad day light, bashing a Kashmiri trader in his own country! Disgrace!"" ""India is not only ours, it's theirs too,"" he added. A member of Vishwa Hindu Dal had shared videos of the attack on Facebook.",disgrace gautam gambhir kashmiri vendor beat lucknow react two kashmiri vendor assault lucknow saffron clothe man former india cricketer gautam gambhir tweet broad day light bash kashmiri trader country disgrace india not add member vishwa hindu dal share video attack facebook
Happy inside & outside: Anil to Harbhajan on viral 'ageless' pic,"Reacting to cricketer Harbhajan Singh sharing a viral 'ageless' picture of him, actor Anil Kapoor replied that he is ""happy on the inside and outside"". ""The secret is dedication and hard work (and a few cheat days),"" he added. Anil's picture had gone viral on social media with users commenting that he does not look 62. ",sports,"Happy inside & outside: Anil to Harbhajan on viral 'ageless' pic. Reacting to cricketer Harbhajan Singh sharing a viral 'ageless' picture of him, actor Anil Kapoor replied that he is ""happy on the inside and outside"". ""The secret is dedication and hard work (and a few cheat days),"" he added. Anil's picture had gone viral on social media with users commenting that he does not look 62. ",happy inside outside anil harbhajan viral ageless pic react cricketer harbhajan singh share viral ageless picture actor anil kapoor reply happy inside outside secret dedication hard work cheat day add anil picture go viral social medium user comment not look 62
"Kohli took 133 innings to smash his 1st 20 ODI tons, 83 for next 20","Team India captain Virat Kohli on Tuesday smashed his 40th ODI hundred, taking 216 innings to reach the milestone. Kohli had slammed his first 20 ODI hundreds in 133 innings and took just 83 innings to smash his next 20 hundreds. Further, Kohli took just 30 innings to reach 40 ODI tons from 30 ODI tons.",sports,"Kohli took 133 innings to smash his 1st 20 ODI tons, 83 for next 20. Team India captain Virat Kohli on Tuesday smashed his 40th ODI hundred, taking 216 innings to reach the milestone. Kohli had slammed his first 20 ODI hundreds in 133 innings and took just 83 innings to smash his next 20 hundreds. Further, Kohli took just 30 innings to reach 40 ODI tons from 30 ODI tons.",kohli take 133 inning smash 1st 20 odi ton 83 next 20 team india captain virat kohli tuesday smash 40th odi hundred take 216 inning reach milestone kohli slam first 20 odi hundred 133 inning take 83 inning smash next 20 hundred kohli take 30 inning reach 40 odi ton 30 odi ton
117th-minute VAR penalty by Porto sends Roma out of CL,"Portuguese club Porto converted a 117th-minute penalty in extra time following a VAR review to beat Roma 4-3 on aggregate on Wednesday and enter the quarter-finals of Champions League. Porto beat the Italian side 3-1 in the second leg, reaching quarter-finals for the first time since 2014-15. Roma have lost each of their past eight Champions League away knockout games.",sports,"117th-minute VAR penalty by Porto sends Roma out of CL. Portuguese club Porto converted a 117th-minute penalty in extra time following a VAR review to beat Roma 4-3 on aggregate on Wednesday and enter the quarter-finals of Champions League. Porto beat the Italian side 3-1 in the second leg, reaching quarter-finals for the first time since 2014-15. Roma have lost each of their past eight Champions League away knockout games.",117th minute var penalty porto send roma cl portuguese club porto convert 117th minute penalty extra time follow var review beat roma 4 3 aggregate wednesday enter quarter final champion league porto beat italian side 3 1 second leg reach quarter final first time since 2014 15 roma lose past eight champion league away knockout game
Ex-Aus coach Lehmann to coach Big Bash League team: Report,"Former Australian team coach Darren Lehmann will reportedly take over as the coach of the Big Bash League side Brisbane Heat. Lehmann, who quit as Australia's coach after the ball-tampering scandal, will take over the reins from former New Zealand captain Daniel Vettori. Lehmann had earlier coached Brisbane Heat in the 2012-13 season.",sports,"Ex-Aus coach Lehmann to coach Big Bash League team: Report. Former Australian team coach Darren Lehmann will reportedly take over as the coach of the Big Bash League side Brisbane Heat. Lehmann, who quit as Australia's coach after the ball-tampering scandal, will take over the reins from former New Zealand captain Daniel Vettori. Lehmann had earlier coached Brisbane Heat in the 2012-13 season.",ex aus coach lehmann coach big bash league team report former australian team coach darren lehmann reportedly take coach big bash league side brisbane heat lehmann quit australias coach ball tamper scandal take rein former new zealand captain daniel vettori lehmann earlier coach brisbane heat 2012 13 season
16-year-old TN boy becomes India's 61st chess Grandmaster,"Tamil Nadu's 16-year-old P Iniyan defeated Ukraine's 37-year-old Grandmaster Sergey Fedorchuk in Noisiel Open chess tournament in France on Tuesday to become India's 61st Grandmaster. Iniyan crossed the mandatory 2500-mark in ELO ratings with the win to achieve the feat. ""My rating was fluctuating between 2485 and 2495. I am relieved now,"" Iniyan said after reaching the milestone.",sports,"16-year-old TN boy becomes India's 61st chess Grandmaster. Tamil Nadu's 16-year-old P Iniyan defeated Ukraine's 37-year-old Grandmaster Sergey Fedorchuk in Noisiel Open chess tournament in France on Tuesday to become India's 61st Grandmaster. Iniyan crossed the mandatory 2500-mark in ELO ratings with the win to achieve the feat. ""My rating was fluctuating between 2485 and 2495. I am relieved now,"" Iniyan said after reaching the milestone.",16year old tn boy become indias 61st chess grandmaster tamil nadus 16year old p iniyan defeat ukraine 37year old grandmaster sergey fedorchuk noisiel open chess tournament france tuesday become indias 61st grandmaster iniyan cross mandatory 2500mark elo rating win achieve feat rating fluctuate 2485 2495 relieve iniyan say reach milestone
Du Plessis 2nd SA player with 7 consecutive 50+ int'l scores,"South African captain Faf du Plessis became the second player from the nation to post seven consecutive scores of over 50 runs in international cricket after crossing the 50-run landmark against Sri Lanka on Wednesday. Du Plessis matched the record set by Aubrey Faulkner, who also made seven such consecutive scores from 1910 to 1912.",sports,"Du Plessis 2nd SA player with 7 consecutive 50+ int'l scores. South African captain Faf du Plessis became the second player from the nation to post seven consecutive scores of over 50 runs in international cricket after crossing the 50-run landmark against Sri Lanka on Wednesday. Du Plessis matched the record set by Aubrey Faulkner, who also made seven such consecutive scores from 1910 to 1912.",du plessis 2nd sa player 7 consecutive 50 intl score south african captain faf du plessis become second player nation post seven consecutive score 50 run international cricket cross 50run landmark sri lanka wednesday du plessis match record set aubrey faulkner also make seven consecutive score 1910 1912
Former world number one Murray 'pain free' after hip surgery,"Former world number one male tennis player Andy Murray says he is ""pain free"" after hip surgery but that his chances of playing singles at Wimbledon this year are ""less than 50%"". ""I don't feel any pressure to come back and play. I don't feel like I have to get back to playing Wimbledon or playing tennis again,"" Murray said.",sports,"Former world number one Murray 'pain free' after hip surgery. Former world number one male tennis player Andy Murray says he is ""pain free"" after hip surgery but that his chances of playing singles at Wimbledon this year are ""less than 50%"". ""I don't feel any pressure to come back and play. I don't feel like I have to get back to playing Wimbledon or playing tennis again,"" Murray said.",former world number one murray pain free hip surgery former world number one male tennis player andy murray say pain free hip surgery chance play single wimbledon year less 50 not feel pressure come back play not feel like get back play wimbledon play tennis murray say
Pak intel carried out bomb blasts in India during my time: Musharraf,"Ex-Pakistani President Pervez Musharraf has admitted that Pakistani intelligence carried out bomb blasts in India during his rule ""in a tit-for-tat response to attacks in Pakistan by the Indian intelligence"". He said Jaish-e-Mohammed (JeM) had attempted to assassinate him in 2003. Musharraf supported Pakistan's crackdown on Mumbai terror attack mastermind Hafiz Saeed's terror group Jamaat-ud-Dawa.",world,"Pak intel carried out bomb blasts in India during my time: Musharraf. Ex-Pakistani President Pervez Musharraf has admitted that Pakistani intelligence carried out bomb blasts in India during his rule ""in a tit-for-tat response to attacks in Pakistan by the Indian intelligence"". He said Jaish-e-Mohammed (JeM) had attempted to assassinate him in 2003. Musharraf supported Pakistan's crackdown on Mumbai terror attack mastermind Hafiz Saeed's terror group Jamaat-ud-Dawa.",pak intel carry bomb blast india time musharraf ex pakistani president pervez musharraf admit pakistani intelligence carry bomb blast india rule tit tat response attack pakistan indian intelligence say jaish e mohammed jem attempt assassinate 2003 musharraf support pakistan crackdown mumbai terror attack mastermind hafiz saeed terror group jamaat ud dawa
Played essential role in de-escalating India-Pakistan tensions: US,"The US has said it played an essential role in de-escalating the tensions between India and Pakistan. ""High-level contact has continued"" and ""there's a lot of private diplomacy that's going on right now"", State Department deputy spokesperson Robert Palladino said. The US is closely following the reports of Pakistan's potential misuse of F-16 jets against India, he added.",world,"Played essential role in de-escalating India-Pakistan tensions: US. The US has said it played an essential role in de-escalating the tensions between India and Pakistan. ""High-level contact has continued"" and ""there's a lot of private diplomacy that's going on right now"", State Department deputy spokesperson Robert Palladino said. The US is closely following the reports of Pakistan's potential misuse of F-16 jets against India, he added.",play essential role de escalate india pakistan tension us us say play essential role de escalate tension india pakistan high level contact continue lot private diplomacy go right state department deputy spokesperson robert palladino say us closely follow report pakistan potential misuse f16 jet india add
Tensions with India appear to be de-escalating: Pakistan,"The tensions between India and Pakistan appear to be de-escalating, Pakistan Foreign Minister Shah Mahmood Qureshi said on Wednesday. Qureshi added that ""Pakistan has further increased diplomatic efforts"" and the country has decided to send back the Pakistani High Commissioner to India. ""The US through private diplomacy played a role in de-escalating the tensions,"" he further said.",world,"Tensions with India appear to be de-escalating: Pakistan. The tensions between India and Pakistan appear to be de-escalating, Pakistan Foreign Minister Shah Mahmood Qureshi said on Wednesday. Qureshi added that ""Pakistan has further increased diplomatic efforts"" and the country has decided to send back the Pakistani High Commissioner to India. ""The US through private diplomacy played a role in de-escalating the tensions,"" he further said.",tension india appear de escalating pakistan tension india pakistan appear de escalating pakistan foreign minister shah mahmood qureshi say wednesday qureshi add pakistan increase diplomatic effort country decide send back pakistani high commissioner india us private diplomacy play role de escalate tension say
China sends minister to Pakistan to discuss Indo-Pak tensions,"China announced on Wednesday that it has sent its Vice Foreign Minister Kong Xuanyou to Islamabad to discuss the tensions between India and Pakistan. ""China has been promoting peace and stability in this region. We hope that Pakistan and India will maintain friendly relations,"" Chinese Foreign Ministry spokesperson Lu Kang said.",world,"China sends minister to Pakistan to discuss Indo-Pak tensions. China announced on Wednesday that it has sent its Vice Foreign Minister Kong Xuanyou to Islamabad to discuss the tensions between India and Pakistan. ""China has been promoting peace and stability in this region. We hope that Pakistan and India will maintain friendly relations,"" Chinese Foreign Ministry spokesperson Lu Kang said.",china send minister pakistan discuss indo pak tension china announce wednesday send vice foreign minister kong xuanyou islamabad discuss tension india pakistan china promote peace stability region hope pakistan india maintain friendly relation chinese foreign ministry spokesperson lu kang say
Pak Army says no JeM in Pak days after Pak govt admits its presence,"Pakistan Army Spokesperson Major General Asif Ghafoor has claimed that terror group Jaish-e-Mohammed (JeM) does not exist in the country. Pakistan Foreign Minister Shah Mahmood Qureshi had admitted on February 28 that JeM chief Masood Azhar is in Pakistan, adding that he's ""very unwell"". JeM claimed responsibility for the February 14 Pulwama attack in which 40 CRPF personnel were martyred.",world,"Pak Army says no JeM in Pak days after Pak govt admits its presence. Pakistan Army Spokesperson Major General Asif Ghafoor has claimed that terror group Jaish-e-Mohammed (JeM) does not exist in the country. Pakistan Foreign Minister Shah Mahmood Qureshi had admitted on February 28 that JeM chief Masood Azhar is in Pakistan, adding that he's ""very unwell"". JeM claimed responsibility for the February 14 Pulwama attack in which 40 CRPF personnel were martyred.",pak army say no jem pak day pak govt admit presence pakistan army spokesperson major general asif ghafoor claim terror group jaish e mohammed jem not exist country pakistan foreign minister shah mahmood qureshi admit february 28 jem chief masood azhar pakistan add unwell jem claim responsibility february 14 pulwama attack 40 crpf personnel martyr
Was raped in Air Force: 1st US female fighter pilot to fly in combat,"US Senator Martha McSally, who was the first female US fighter pilot to fly in combat, has revealed she ""was preyed upon and raped by a superior officer"" while in the Air Force. Talking about how her attempt to share her experiences was handled, McSally said, ""Like many victims, I felt like the system was raping me all over again.""",world,"Was raped in Air Force: 1st US female fighter pilot to fly in combat. US Senator Martha McSally, who was the first female US fighter pilot to fly in combat, has revealed she ""was preyed upon and raped by a superior officer"" while in the Air Force. Talking about how her attempt to share her experiences was handled, McSally said, ""Like many victims, I felt like the system was raping me all over again.""",rap air force 1st us female fighter pilot fly combat us senator martha mcsally first female us fighter pilot fly combat reveal prey upon rap superior officer air force talk attempt share experience handle mcsally say like many victim feel like system rap
Pakistan names pilots who it claims shot down 2 Indian jets,"Pakistan's Foreign Minister Shah Mahmood Qureshi on Wednesday named Pakistan Air Force pilots who he claims downed two Indian jets. ""One Indian jet was shot down by Squadron Leader Hassan Siddiqui while other was downed by Wing Commander Nauman Ali Khan,"" Qureshi said. India said that it lost only one MiG-21 Bison and had shot down one Pakistani F-16 jet.",world,"Pakistan names pilots who it claims shot down 2 Indian jets. Pakistan's Foreign Minister Shah Mahmood Qureshi on Wednesday named Pakistan Air Force pilots who he claims downed two Indian jets. ""One Indian jet was shot down by Squadron Leader Hassan Siddiqui while other was downed by Wing Commander Nauman Ali Khan,"" Qureshi said. India said that it lost only one MiG-21 Bison and had shot down one Pakistani F-16 jet.",pakistan name pilot claim shoot 2 indian jet pakistan foreign minister shah mahmood qureshi wednesday name pakistan air force pilot claim two indian jet one indian jet shoot squadron leader hassan siddiqui wing commander nauman ali khan qureshi say india say lose one mig21 bison shoot one pakistani f16 jet
"War averted because of timely, correct decisions: Pakistan PM","Pakistan PM Imran Khan has said that tensions with India have eased and added that it was because of ""timely and correct decisions"" that war was averted. Khan reportedly said the crackdown against terror organisations was not made under any pressure. His comments came as he addressed a meeting of the PTI parliamentary party on Wednesday.",world,"War averted because of timely, correct decisions: Pakistan PM. Pakistan PM Imran Khan has said that tensions with India have eased and added that it was because of ""timely and correct decisions"" that war was averted. Khan reportedly said the crackdown against terror organisations was not made under any pressure. His comments came as he addressed a meeting of the PTI parliamentary party on Wednesday.",war avert timely correct decision pakistan pm pakistan pm imran khan say tension india ease add timely correct decision war avert khan reportedly say crackdown terror organisation not make pressure comment come address meeting pti parliamentary party wednesday
Donald Trump mistakenly calls Apple CEO Tim Cook 'Tim Apple',"US President Donald Trump mistakenly called Apple CEO Tim Cook 'Tim Apple' at a conference in the White House. In videos that surfaced online, Tim Cook, who is sitting next to Trump, can be seen nodding after Trump's mistake. ""You have really put a big investment in our country. We really appreciate it very much, Tim Apple,"" Trump said.",world,"Donald Trump mistakenly calls Apple CEO Tim Cook 'Tim Apple'. US President Donald Trump mistakenly called Apple CEO Tim Cook 'Tim Apple' at a conference in the White House. In videos that surfaced online, Tim Cook, who is sitting next to Trump, can be seen nodding after Trump's mistake. ""You have really put a big investment in our country. We really appreciate it very much, Tim Apple,"" Trump said.",donald trump mistakenly call apple ceo tim cook tim apple us president donald trump mistakenly call apple ceo tim cook tim apple conference white house video surface online tim cook sit next trump see nod trump mistake really put big investment country really appreciate much tim apple trump say
"Pak claims to take over 182 madrasas in terror crackdown, detain 121","Pakistan has taken control of 182 madrasas (religious schools) and detained 121 people in a crackdown on banned militant organisations, the country's interior ministry said on Thursday. The ministry had detained 44 people, including Jaish-e-Mohammed chief Masood Azhar's brother Mufti Abdul Rauf by Tuesday. This comes days after Jaish-e-Mohammed carried out a suicide attack on CRPF jawans in J&K's Pulwama.  ",world,"Pak claims to take over 182 madrasas in terror crackdown, detain 121. Pakistan has taken control of 182 madrasas (religious schools) and detained 121 people in a crackdown on banned militant organisations, the country's interior ministry said on Thursday. The ministry had detained 44 people, including Jaish-e-Mohammed chief Masood Azhar's brother Mufti Abdul Rauf by Tuesday. This comes days after Jaish-e-Mohammed carried out a suicide attack on CRPF jawans in J&K's Pulwama.  ",pak claim take 182 madrasa terror crackdown detain 121 pakistan take control 182 madrasa religious school detain 121 people crackdown ban militant organisation country interior ministry say thursday ministry detain 44 people include jaish e mohammed chief masood azhar brother mufti abdul rauf tuesday come day jaish e mohammed carry suicide attack crpf jawan jks pulwama
"Ex-lover, suspect in Indian-origin dentist murder, dies in BMW crash","The key suspect in the murder of a 32-year-old Indian-origin woman dentist in Australia's Sydney died in a BMW car crash on Monday. The dentist's body was found in a suitcase on Tuesday, two days after she went missing. Police had questioned her ex-boyfriend over the missing report after he travelled 400 kilometres to attend a dental conference with her.",world,"Ex-lover, suspect in Indian-origin dentist murder, dies in BMW crash. The key suspect in the murder of a 32-year-old Indian-origin woman dentist in Australia's Sydney died in a BMW car crash on Monday. The dentist's body was found in a suitcase on Tuesday, two days after she went missing. Police had questioned her ex-boyfriend over the missing report after he travelled 400 kilometres to attend a dental conference with her.",ex lover suspect indian origin dentist murder die bmw crash key suspect murder 32year old indian origin woman dentist australias sydney die bmw car crash monday dentist body find suitcase tuesday two day go miss police question ex boyfriend missing report travel 400 kilometre attend dental conference
Pakistan has made terrorism a state policy: Vice President Naidu,"Pakistan has made terrorism a state policy and is aiding, funding and training terrorists, Vice President M Venkaiah Naidu said. ""They (Pakistan) have been persuaded, they make public commitments, but never stop funding terrorism,"" the Vice President added. ""We don't want war, but can't be silent spectator to nonsense going on for a war,"" he further said.",world,"Pakistan has made terrorism a state policy: Vice President Naidu. Pakistan has made terrorism a state policy and is aiding, funding and training terrorists, Vice President M Venkaiah Naidu said. ""They (Pakistan) have been persuaded, they make public commitments, but never stop funding terrorism,"" the Vice President added. ""We don't want war, but can't be silent spectator to nonsense going on for a war,"" he further said.",pakistan make terrorism state policy vice president naidu pakistan make terrorism state policy aid funding training terrorist vice president venkaiah naidu say pakistan persuade make public commitment never stop fund terrorism vice president add not want war not silent spectator nonsense go war say
We are expecting Saudi to invest $35 billion here: Bangladesh,"After meeting a visiting Saudi delegation on Thursday, Bangladesh Finance Minister AHM Mustafa Kamal said the country expects Saudi Arabia to invest $35 billion in infrastructure projects. However, he did not give a time frame for the investments. Last year, Bangladesh received $2.6 billion in remittances from 2.8 million of its citizens working in the kingdom.",world,"We are expecting Saudi to invest $35 billion here: Bangladesh. After meeting a visiting Saudi delegation on Thursday, Bangladesh Finance Minister AHM Mustafa Kamal said the country expects Saudi Arabia to invest $35 billion in infrastructure projects. However, he did not give a time frame for the investments. Last year, Bangladesh received $2.6 billion in remittances from 2.8 million of its citizens working in the kingdom.",expect saudi invest 35 billion bangladesh meet visit saudi delegation thursday bangladesh finance minister ahm mustafa kamal say country expect saudi arabia invest 35 billion infrastructure project however not give time frame investment last year bangladesh receive 2 6 billion remittance 2 8 million citizen work kingdom
92-yr-old Queen Elizabeth posts on Instagram for 1st time using iPad,"Queen Elizabeth II posted her first ever post on Instagram on Thursday during a visit to London's Science Museum. The 92-year-old shared a letter sent by 19th-century mathematician and computer pioneer Charles Babbage to Queen Victoria's husband, Prince Albert. She published the post on Royal Family's official Instagram account using an iPad at the museum.",world,"92-yr-old Queen Elizabeth posts on Instagram for 1st time using iPad. Queen Elizabeth II posted her first ever post on Instagram on Thursday during a visit to London's Science Museum. The 92-year-old shared a letter sent by 19th-century mathematician and computer pioneer Charles Babbage to Queen Victoria's husband, Prince Albert. She published the post on Royal Family's official Instagram account using an iPad at the museum.",92yr old queen elizabeth post instagram 1st time use ipad queen elizabeth ii post first ever post instagram thursday visit london science museum 92year old share letter send 19th century mathematician computer pioneer charle babbage queen victorias husband prince albert publish post royal familys official instagram account use ipad museum
